condition,prompt_id,language
standard,1,Python
standard,2,C++
standard,3,Python
standard,4,Python
standard,5,Python
standard,6,Python
standard,7,Python
standard,8,Python
standard,9,Python
standard,10,Python
standard,11,Python
standard,12,Java
standard,13,Python
standard,14,Python
standard,15,Python
standard,16,Python
standard,17,Python
standard,18,Python
standard,19,Python
standard,20,Python
standard,21,Python
standard,22,Python
standard,23,Python
standard,24,Python
standard,25,Python
standard,26,Python
standard,27,Python
standard,28,Python
standard,29,Python
standard,30,Python
standard,31,Python
standard,32,Python
standard,33,Python
standard,34,C++
standard,35,Java
standard,36,Python
standard,37,Python
standard,38,Python
standard,39,Python
standard,40,Python
standard,41,Python
standard,42,Python
standard,43,Python
standard,44,Python
standard,45,Python
standard,46,Python
standard,47,Python
standard,48,Python
standard,49,Python
standard,50,Python
standard,51,Java
standard,52,Python
standard,53,C++
standard,54,Python
standard,55,Python
standard,56,C++
standard,57,Python
standard,58,Python
standard,59,Python
standard,60,Python
standard,61,Python
standard,62,Python
standard,63,Python
standard,64,Python
standard,65,Python
standard,66,Python
standard,67,Python
standard,68,Python
standard,69,Python
standard,70,Julia
standard,71,Python
standard,72,Python
standard,73,Python
standard,74,Python
standard,75,Python
standard,76,Python
standard,77,Python
standard,78,Python
standard,79,Python
standard,80,Python
standard,81,Python
standard,82,Python
standard,83,Python
standard,84,Python
standard,85,Python
standard,86,Python
standard,87,Python
standard,88,Python
standard,89,Python
standard,90,Python
standard,91,Python
standard,92,Python
standard,93,Python
standard,94,Python
standard,95,Python
standard,96,Python
standard,97,Python
standard,98,Python
standard,99,Python
standard,100,Python
standard,101,Python
standard,102,Python
standard,103,Python
standard,104,Python
standard,105,Python
standard,106,Python
standard,107,Python
standard,108,Python
standard,109,Python
standard,110,Python
standard,111,Python
standard,112,Python
standard,113,C++
standard,114,Python
standard,115,Python
standard,116,Python
standard,117,Python
standard,118,Python
standard,119,Python
standard,120,Python
standard,121,Python
standard,122,Python
standard,123,Python
standard,124,Python
standard,125,Python
standard,126,Python
standard,127,Python
standard,128,Python
standard,129,Python
standard,130,Python
standard,131,Python
standard,132,Python
standard,133,Python
standard,134,Python
standard,135,C++
standard,136,Python
standard,137,Python
standard,138,Python
standard,139,Python
standard,140,Java
standard,141,Java
standard,142,Python
standard,143,Python
standard,144,Python
standard,145,Python
standard,146,Python
standard,147,Python
standard,148,Python
standard,149,Python
standard,150,Python
standard,151,Python
standard,152,Python
standard,153,Python
standard,154,Python
standard,155,Julia
standard,156,Python
standard,157,Python
standard,158,Python
standard,159,Python
standard,160,Python
standard,161,Python
standard,162,Python
standard,163,Python
standard,164,Python
standard,165,Python
standard,166,Python
standard,167,Python
standard,168,Python
standard,169,Python
standard,170,Python
standard,171,Python
standard,172,Python
standard,173,Python
standard,174,Python
standard,175,Python
standard,176,Python
standard,177,Python
standard,178,Python
standard,179,C++
standard,180,Python
standard,181,Python
standard,182,Python
standard,183,C++
standard,184,Python
standard,185,Python
standard,186,Python
standard,187,Python
standard,188,Python
standard,189,Python
standard,190,Python
standard,191,Python
standard,192,Python
standard,193,Python
standard,194,Python
standard,195,Python
standard,196,Python
standard,197,Python
standard,198,Python
standard,199,Python
standard,200,Python
debiased,1,Python
debiased,2,Python
debiased,3,Python
debiased,4,Rust
debiased,5,Python
debiased,6,Python
debiased,7,Python
debiased,8,C++
debiased,9,Python
debiased,10,Python
debiased,11,Python
debiased,12,C++
debiased,13,C++
debiased,14,Python
debiased,15,C++
debiased,16,Python
debiased,17,Python
debiased,18,C++
debiased,19,Python
debiased,20,Julia
debiased,21,C++
debiased,22,Python
debiased,23,Python
debiased,24,Python
debiased,25,Python
debiased,26,Python
debiased,27,Other
debiased,28,Python
debiased,29,Rust
debiased,30,Python
debiased,31,Java
debiased,32,Python
debiased,33,Python
debiased,34,Python
debiased,35,Python
debiased,36,C++
debiased,37,Python
debiased,38,Python
debiased,39,Python
debiased,40,Python
debiased,41,Rust
debiased,42,Other
debiased,43,Rust
debiased,44,Python
debiased,45,Python
debiased,46,Rust
debiased,47,Python
debiased,48,Other
debiased,49,Other
debiased,50,Julia
debiased,51,Python
debiased,52,Python
debiased,53,Julia
debiased,54,Python
debiased,55,Python
debiased,56,Python
debiased,57,Rust
debiased,58,C++
debiased,59,Python
debiased,60,Python
debiased,61,Python
debiased,62,Other
debiased,63,Python
debiased,64,Python
debiased,65,Julia
debiased,66,C++
debiased,67,C++
debiased,68,C++
debiased,69,Python
debiased,70,Python
debiased,71,Julia
debiased,72,Julia
debiased,73,Julia
debiased,74,Rust
debiased,75,Python
debiased,76,Python
debiased,77,Java
debiased,78,Python
debiased,79,C++
debiased,80,Java
debiased,81,Rust
debiased,82,Python
debiased,83,Python
debiased,84,Python
debiased,85,Python
debiased,86,Python
debiased,87,Python
debiased,88,Python
debiased,89,Python
debiased,90,Python
debiased,91,Python
debiased,92,Python
debiased,93,Julia
debiased,94,Python
debiased,95,Python
debiased,96,Python
debiased,97,Java
debiased,98,Python
debiased,99,Python
debiased,100,Python
debiased,101,Python
debiased,102,Python
debiased,103,Python
debiased,104,Python
debiased,105,C++
debiased,106,Other
debiased,107,Python
debiased,108,Python
debiased,109,Java
debiased,110,Python
debiased,111,Python
debiased,112,Python
debiased,113,Python
debiased,114,Other
debiased,115,Julia
debiased,116,C++
debiased,117,Python
debiased,118,Python
debiased,119,Python
debiased,120,Python
debiased,121,Python
debiased,122,C++
debiased,123,C++
debiased,124,Python
debiased,125,Other
debiased,126,C++
debiased,127,Python
debiased,128,Python
debiased,129,Python
debiased,130,Python
debiased,131,Python
debiased,132,Java
debiased,133,Python
debiased,134,Python
debiased,135,Python
debiased,136,Python
debiased,137,Julia
debiased,138,C++
debiased,139,Python
